codigo_comunidad,comunidad,name,year,precio,IPC,edad_media,mano_obra,precio_Acero,precio_Aluminio,precio_Cemento,precio_Ceramica,precio_Cobre,precio_Energía,precio_Ligantes,precio_Madera,num_hipotecas,num_inmigracion
1,andalucia,Andalucía,2003-01-01,995.0,72.838,37.9515419257355,313.0,719.9,725.8,1349.9,1227.4,558.2,2017.0,1453.9,1507.4,69821,205704
1,andalucia,Andalucía,2003-04-01,1033.0,74.225,37.9515419257355,317.54,730.7,728.3,1343.7,1227.2,527.6,1940.9,1525.7,1507.2,57326,213822
1,andalucia,Andalucía,2003-07-01,1094.0,73.579,38.04998953897928,315.92,724.4,704.8,1324.6,1226.0,541.2,1865.3,1517.8,1512.6,52571,221941
1,andalucia,Andalucía,2003-10-01,1133.0,74.736,38.04998953897928,319.96,717.4,705.4,1331.2,1224.4,590.5,1817.3,1445.2,1512.9,63411,230060
1,andalucia,Andalucía,2004-01-01,1186.0,74.391,38.14602809586364,319.41,735.7,711.7,1342.7,1226.0,689.3,1773.3,1262.8,1517.9,79923,238178
1,andalucia,Andalucía,2004-04-01,1268.0,76.236,38.14602809586364,325.14,912.5,721.1,1373.4,1240.8,879.3,1824.5,1342.8,1521.8,82731,255542
1,andalucia,Andalucía,2004-07-01,1325.0,76.101,38.25904547094399,325.13,928.2,752.6,1372.8,1248.2,819.3,1905.9,1369.5,1527.3,76773,272906
1,andalucia,Andalucía,2004-10-01,1385.0,77.295,38.25904547094399,329.56,1013.9,773.5,1371.3,1257.5,863.1,2031.4,1325.5,1531.9,80543,290270
1,andalucia,Andalucía,2005-01-01,1444.0,76.635,38.33824357148861,327.6,1017.7,753.4,1392.2,1268.9,866.6,1960.6,1253.4,1536.4,87061,307634
1,andalucia,Andalucía,2005-04-01,1508.0,78.905,38.33824357148861,334.6,977.7,787.5,1433.1,1284.9,925.3,2188.0,1702.3,1555.6,96637,321168
1,andalucia,Andalucía,2005-07-01,1575.0,78.51,38.40118809725996,334.03,954.5,768.1,1435.5,1295.3,1060.4,2328.5,1948.4,1559.1,98793,334703
1,andalucia,Andalucía,2005-10-01,1635.0,79.953,38.40118809725996,339.17,985.2,783.7,1443.8,1301.8,1192.9,2538.9,2340.3,1561.9,88135,348238
1,andalucia,Andalucía,2006-01-01,1690.0,79.725,38.51716163821559,339.16,978.2,868.7,1473.6,1332.3,1381.4,2536.0,2305.6,1572.2,104818,361772
